permit_number,sub_type,work_type,permit_location,date_issued,work_description,status,total_new_add_footage,total_job_valuation,dd,legal_description,lat,lng
2015-152263 BP,R- 101 Single Family Houses,New,910 SLEEPY DELL LN,12/23/2015,"New 2-story Condominium Residence with attached garage, covered entry porch and covered patio. **CONDOMINIUM RESIDENCE**",Active,2348,103847,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.267153,-97.7430608
2015-152398 BP,R- 101 Single Family Houses,New,7200 ONDANTRA BND,12/28/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Active,2516,116480,1,LOT 13 BLK N SPRINGFIELD SEC 2,30.267153,-97.7430608
2015-152705 BP,R- 101 Single Family Houses,New,7004 ONDANTRA BND,12/28/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Active,2909,154830,1,LOT 24 BLK N SPRINGFIELD SEC 2,30.267153,-97.7430608
2015-152706 BP,R- 101 Single Family Houses,New,7209 ALTIDORE DR,12/28/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,3521,181805,1,LOT 7 BLK M SPRINGFIELD SEC 2,30.267153,-97.7430608
2015-152707 BP,R- 101 Single Family Houses,New,8813 JODIE LN,12/28/2015,"New 2-story Condominium Residence with attached garage, covered entry porch and covered patio. **CONDOMINIUM RESIDENCE**",Active,3729,229350,1,ABS 6 SUR 19 CANNON W ACR 2.6040,30.267153,-97.7430608
2015-149041 BP,R- 101 Single Family Houses,New,900 SLEEPY DELL LN,12/29/2015,"New 2-story Condominium Residence with attached garage, covered entry porch and patio. **CONDOMINIUM RESIDENCE**",Active,2408,230990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.267153,-97.7430608
2015-150334 BP,R- 101 Single Family Houses,New,7004 CARDINAL BLOOM LOOP,12/29/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio. **VOL BUILD PROJECT** **MODEL HOME**",Active,3547,249662,1,ABS 24 DELVALLE S ACR 6.9340 [1-D-1],30.267153,-97.7430608
2015-152537 BP,R- 101 Single Family Houses,New,7309 ONDANTRA BND,12/29/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Active,2557,116480,1,LOT 22 BLK M SPRINGFIELD SEC 2,30.267153,-97.7430608
2015-152932 BP,R- 101 Single Family Houses,New,810 MISTY NEST CV,12/29/2015,"New 2-story Condominium Residence with attached garage, covered entry porch and patio. **CONDOMINIUM RESIDENCE**",Active,2408,230990,1,ABS 20 SUR 1 SLAUGHTER S F ACR 12.0410,30.267153,-97.7430608
2015-153185 BP,R- 101 Single Family Houses,New,7320 ONDANTRA BND,12/29/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Active,2739,129740,1,LOT 2 BLK N SPRINGFIELD SEC 2,30.267153,-97.7430608
2015-153195 BP,R- 101 Single Family Houses,New,7217 ALTIDORE DR,12/29/2015,"New 2-story single-family residence, attached garage, covered porch and patio.",Active,3062,162630,1,LOT 5 BLK M SPRINGFIELD SEC 2,30.267153,-97.7430608
2015-153196 BP,R- 101 Single Family Houses,New,7300 ONDANTRA BND,12/29/2015,"New 2-story single-family residence, attached garage, covered porch and patio.",Active,3270,162630,1,LOT 7 BLK N SPRINGFIELD SEC 2,30.267153,-97.7430608
2015-153413 BP,R- 101 Single Family Houses,New,7308 ALTIDORE DR,12/31/2015,"New 1-story single-family residence, attached garage, covered porch and patio.",Active,2637,135785,1,LOT 5 BLK L SPRINGFIELD SEC 2,30.267153,-97.7430608
2015-153569 BP,R- 101 Single Family Houses,New,6709 ONDANTRA BND,12/31/2015,"New 2-story single-family residence, attached garage, covered porch and patio.",Active,3680,187265,1,LOT 47 BLK A SPRINGFIELD SEC 2,30.267153,-97.7430608
2015-153582 BP,R- 101 Single Family Houses,New,9401 KYLES STAKE RD,12/31/2015,"New 2-story single-family residence, attached garage, covered entry porch and rear patio.",Active,3475,210975,1,"AW0551 - Saul, R. Sur., ACRES 150.564",30.267153,-97.7430608
2015-006700 BP,R- 103 Two Family Bldgs,New,1929 E 38TH HALF ST,1/21/2015,new duplex with 2 attached garages,Active,3556,300000,2,,,
2015-006222 BP,R- 101 Single Family Houses,New,3906 TEAFF ST**SMART HOUSE** **VOL BUILD PROJECT** **ROW HOUSE,1/22/2015,"New 2-story single-family Row House with attached garage, courtyard, breezeway, and covered porch.",Active,3088,205350,1,LOT 10 BLK 96 MUELLER SEC VII-C SUBD AMENDED,,
2015-012407 BP,R- 101 Single Family Houses,New,6409 ALLEYTON DR **VOLUME BUILDER** **MODEL HOME***,2/3/2015,"New 1-story single-family residence, attached garage, covered porch.**VOLUME BUILDER** THIS UNIT IS PERMITTED AND WILL BE USED, ORIGINALLY, AS A MODEL HOME. IT IS UNDERSTOOD THAT ANY SALES OFFICES WITHIN THE STRUCTURE, OR ANY LANDSCAPING SITUATED IN THE AREA WHERE THE DRIVEWAY MUST BE LOCATED, WILL BE CONVERTED TO FINAL FORM PRIOR TO RELEASING THIS DWELLING TO THE EVENTUAL BUYER.",Active,2139,128000,1,,,
2015-034764 BP,R- 101 Single Family Houses,New,1500 VERDANA DR **VOL BUILD PROJECT**,3/30/2015,"New 2-story single-family residence, attached garage, covered entry porch. **VOL BUILD PROJECT**",Final,2911,144720,1,LOT 24 BLK B RETREAT AT TECH RIDGE SEC 1 THE,,
2015-054289 BP,C- 329 Com Structures Other Than Bldg,New,805 NECHES ST Pool,5/11/2015,New Swimming Pool,Active,1297,100000,0,0.1386 AC OF LOT 8 BLOCK 093 ORIGINAL CITY,,
2015-104337 BP,R- 101 Single Family Houses,New,11425 KIRKLAND HILL PATH **VOL BUILD PROJECT** **SMART HOUSE**,8/31/2015,"New 2-story single-family residence, attached garage, covered porch and uncovered patio. **VOL BUILD PROJECT** **SMART HOUSE**",Active,2661,134340,1,LOT 20 BLK D THORNBURY II SEC 6,,
2015-116294 BP,R- 101 Single Family Houses,New,7016 CARDINAL BLOOM LOOP **MODEL HOME**,9/25/2015,"New sf res;3 bedrooms, 2.5 bathrooms, 3 car garage, covered porch and patio. THIS UNIT IS PERMITTED AND WILL BE USED, ORIGINALLY, AS A MODEL HOME. IT IS UNDERSTOOD THAT ANY SALES OFFICES WITHIN THE STRUCTURE, OR ANY LANDSCAPING SITUATED IN THE AREA WHERE THE DRIVEWAY MUST BE LOCATED, WILL BE CONVERTED TO FINAL FORM PRIOR TO RELEASING THIS DWELLING TO THE EVENTUAL BUYER.",Active,2569,125758,1,ABS 24 DELVALLE S ACR 6.9340 [1-D-1],,
2015-015104 BP,R- 101 Single Family Houses,New,4901 ALF AVE,2/10/2015,"New sf res unit; 3 bedrms, 3 bathrms, 2 car garage, covered patio.",Final,2834,106700,1,LOT 1 BLK E SPRINGDALE ADDN,30.26718724,-97.69065952
2015-015104 BP,R- 101 Single Family Houses,New,4901 ALF AVE,2/10/2015,"New sf res unit; 3 bedrms, 3 bathrms, 2 car garage, covered patio.",Final,2834,106700,1,LOT 1 BLK E SPRINGDALE ADDN,30.26718724,-97.69065952
2015-016505 BP,R- 329 Res Structures Other Than Bldg,New,2907 MONTEBELLO CT,2/20/2015,Pool,Active,902,20000,0,Lot: 3 Block: A Subdivision:,30.26733935,-97.79254423
2015-040170 BP,R- 101 Single Family Houses,New,5305 PROCK LN,4/15/2015,"New two story sf res; 3 bedrms, 3.5 bathrms, 1car garage, covered patio area.",Final,2435,200000,1,Lot: 3 Block: 9 Subdivision: GREEN VALLEY SEC 2 (BLOCKS 6-8),30.26736195,-97.68449823
2015-144061 BP,R- 102 Secondary Apartment,New,1007 E 9TH ST,12/9/2015,New secondary apt with cov\'d porch and storage,Active,778,45000,1,Lot: 3 Block: 4 Subdivision: GEORGE L. ROBERSTON SUBDIVISION,30.2674127,-97.73069802
2015-020959 BP,C- 329 Com Structures Other Than Bldg,New,201 E 6TH ST,2/25/2015,New 24' x 16' x 3' temporary deck only.,Expired,384,1680,0,Lot: 12 Block: Subdivision: OUTLOT 57 DIVISION E,30.26743935,-97.74137519
2015-026989 BP,C- 329 Com Structures Other Than Bldg,New,213 W 5TH ST,3/10/2015,167.5 sq ft Stage within the Venue. (10'x16'.9),Final,167.5,2800,0,Lot: 12 Block: Subdivision: OUTLOT 44 DIVISION E,30.26751661,-97.7454692
2015-006854 BP,R- 103 Two Family Bldgs,New,4807 ALF AVE,2/5/2015,***C.O.C***new two story duplex w/attached garage. over 3600 sq ft. fire review.,Final,4102,150000,2,LOT 14 BLK F SPRINGDALE ADDN,30.26753027,-97.69128938
2015-017152 BP,C- 329 Com Structures Other Than Bldg,New,2100 BARTON SPRINGS RD,2/13/2015,Construction of a 32 x 24 Temporary stage for Blues on the Green only. (Summer Concert Series),Final,768,125000,0,,30.26776989,-97.76790935
2015-112719 BP,C- 329 Com Structures Other Than Bldg,New,2100 BARTON SPRINGS RD,9/17/2015,"1. Container- 8'x40'x 8'-6""""tall **NO OCCUPANCY ALLOWED OVER THE CONTAINER*** 2. Corrugated Structure total (2)- 25'-5""""x 10'x6""""x 8'-5"""" tall 3. GA Entry Arch- 20'-6""""x 7'-10""""x 8'-8""""tall total 1013 square feet"" Activation for general area allow consumers to test new devices and interact amongst Samsung professionals. Dates: Oct 2nd thu Oct 12th.",Final,3000,50000,0,,30.26776989,-97.76790935
2015-113167 BP,C- 329 Com Structures Other Than Bldg,New,2100 BARTON SPRINGS RD,9/18/2015,"Construction of 9 temporary stages ( Total of 23,184 sq ft); Samsung Galaxy Main Stage, Samsung Galaxy ADA Riser, Red Bull Platform, Media Platform, Tito's / Zilker Stage , Tito's / Zilker ADA Riser, Honda Main Stage, Honda ADA Riser and Home Away ADA Riser",Active,23184,505000,0,,30.26776989,-97.76790935
2015-016442 BP,R- 103 Two Family Bldgs,New,1124 LINDEN ST,6/10/2015,New construction of Duplex residential,Active,4163,150000,2,LOT 8 BLK 2 OLT 45&46 DIV A CHERICO SUBD NO 2,30.26789,-97.704084
2015-098521 BP,R- 103 Two Family Bldgs,New,4703 ALF AVE,8/17/2015,"New 2 story 3,628 sq. ft DUPLEX residence w (2) 236 sq. ft. garage on slab on grade. This will be wood construction w/shingle roof. New driveways and approaches per City of Austin specifications",Active,4435,150000,2,LOT 7 BLK F SPRINGDALE ADDN,30.2680856,-97.69247824
2015-024703 BP,C- 329 Com Structures Other Than Bldg,New,400 NUECES ST,3/4/2015,Biljax Stage(320sf) only at Dropbox Party Special Event.,Final,320,400,0,Lot: 4 Block: 47 Subdivision:,30.26813783,-97.74926746
2015-025650 BP,C- 329 Com Structures Other Than Bldg,New,400 NUECES ST,3/6/2015,SXSW 2015 rolling stone stage at Mellow Johnny's,Final,320,1200,0,Lot: 4 Block: 47 Subdivision:,30.26813783,-97.74926746
2015-012644 BP,R- 103 Two Family Bldgs,New,1111 ESTES AVE,2/5/2015,**COC**new 4 bedroom 5 bathroom duplex-mcmansion,Final,3466,175000,2,LOT 15 BLK 7 GREEN VALLEY NO 2,30.268328,-97.68436798
2015-045180 BP,R- 329 Res Structures Other Than Bldg,New,1909 CUEVA DE ORO CV,4/21/2015,new pool,Active,246,60000,0,Lot: 6 Block: Subdivision: PRESERVE AT LOST GOLD CAVE PHASE II,30.26859553,-97.81346194
2015-091455 BP,C- 106 Mixed Use,New,109 E 7TH ST,7/31/2015,New Hotel Basement Level ONLY (Back of House),Active,8283,800000,1,,30.26872423,-97.74208967
2015-062574 BP,C- 328 Commercial Other Nonresident Bldg,New,311 BOWIE ST,5/29/2015,New Pool Cabana #1,Active,72,3600,0,,30.26923343,-97.75300001
2015-062575 BP,C- 328 Commercial Other Nonresident Bldg,New,311 BOWIE ST,6/1/2015,New Pool Cabana #2,Active,72,3600,0,,30.26923343,-97.75300001
2015-062576 BP,C- 328 Commercial Other Nonresident Bldg,New,311 BOWIE ST,6/1/2015,New Pool Cabana #3,Active,72,3600,0,,30.26923343,-97.75300001
2015-079695 BP,C- 106 Mixed Use,New,1200 PAUL TERESA SALDANA ST,7/6/2015,New Mixed Use: 1st Floor Private Community Recreation; 2nd flr Dwelling Units & Admn/Bus Offices; 3rd - 4th Floor Dwelling units.,Active,36572,6500000,35,LOT 1 BLK C GUADALUPE-SALDANA NET ZERO SUBD,30.26931813,-97.70342976
2015-052776 BP,C- 321 Pkg Garage Bldg & Open Deck,New,501 WEST AVE,5/7/2015,New Parking Garage (Levels B5.5-B1.0; L2-L5),Active,129097,14723350,1,0.3825 AC OF LOTS 1 & 2 BLOCK 049 ORIGINAL CITY,30.26953561,-97.7505252
2015-085454 BP,R- 101 Single Family Houses,New,4711 PROCK LN,7/27/2015,"Relocate house from 1107 Woodland avenue to front of the lot as primary structure. 2 bedrooms, 1 bath.",Active,1333,15000,1,50 X 200 FT ABS 22 SUR 29 TANNEHILL J C,30.2695649,-97.6909913
2015-085454 BP,R- 101 Single Family Houses,New,4711 PROCK LN,7/27/2015,"Relocate house from 1107 Woodland avenue to front of the lot as primary structure. 2 bedrooms, 1 bath.",Active,1333,15000,1,50 X 200 FT ABS 22 SUR 29 TANNEHILL J C,30.2695649,-97.6909913
2015-043462 BP,C- 101 Single Family Houses,New,1154 WALLER ST,4/20/2015,New Construction Single Family Townhomes W/Garage and Balcony,Active,2429,144688,1,LOT 14B BLK 1 1000 BLOCK OF EAST 11TH STREET SUBD REPLAT OF,30.26958425,-97.72888503
2015-089195 BP,R- 101 Single Family Houses,New,3723 MUNSON ST,7/27/2015,"New 2 story cottage special use, covd front porch, covd rear patio.",Active,1958,115000,1,LOT 1 SPRINGDALE SUBD,30.26963111,-97.69314107
2015-043461 BP,C- 101 Single Family Houses,New,1156 WALLER ST,4/20/2015,New Construction Single Family Townhomes W/Garage and Balcony,Active,2430,147020,1,LOT 13 BLK 1 1000 BLK OF EAST 11TH ST SUBD,30.26964387,-97.72886827
2015-083803 BP,R- 101 Single Family Houses,New,3721 MUNSON ST,7/14/2015,"Cottage Lot: new 2-story single family residence with (3) bedrooms, (2.5) bathrooms, 5' deep front porch, rear patio, steps to side yard from kitchen.",Active,1989,115000,1,LOT 2 SPRINGDALE SUBD,30.26964988,-97.69321151
2015-074699 BP,R- 101 Single Family Houses,New,3719 MUNSON ST,7/10/2015,single family house with attached carport,Active,1968,180000,1,LOT 3 SPRINGDALE SUBD,30.26967479,-97.69329951
2015-043460 BP,C- 101 Single Family Houses,New,1158 WALLER ST,4/20/2015,"New Construction Single Family Townhomes W/Garage,Balcony Game Room/ Roof Deck",Active,3432,184384,1,LOT 12 BLK 1 1000 BLK OF EAST 11TH ST SUBD,30.26969451,-97.72884162
2015-074445 BP,R- 101 Single Family Houses,New,3717 MUNSON ST,7/10/2015,"New single family residence. Cottage lot. 3 bedrooms, 2.5 baths.",Active,1966,160000,1,LOT 4 SPRINGDALE SUBD,30.26969764,-97.69338093
2015-061586 BP,R- 101 Single Family Houses,New,3715 MUNSON ST,7/10/2015,New single family cottage lot. 3 bedrooms 2.5 bath,Active,1933,160000,1,LOT 5 SPRINGDALE SUBD,30.26972438,-97.69346445
2015-043459 BP,C- 101 Single Family Houses,New,1023 JUNIPER ST,4/20/2015,"New Construction Single Family Townhomes W/Garage,Balcony and Roof Deck",Active,3627,210060,1,LOT 17B BLK 1 1000 BLOCK OF EAST 11TH STREET SUBD REPLAT OF,30.26973506,-97.72898546
2015-069396 BP,R- 101 Single Family Houses,New,5502 LEDESMA RD Unit A,7/30/2015,two story sf house with garage,Active,1933,147000,1,LOT 4 ADELE ADDN,30.26973817,-97.6808739
2015-069398 BP,R- 102 Secondary Apartment,New,5502 LEDESMA RD,7/30/2015,new secondary apartment with attached garage,Active,1100,100000,1,LOT 4 ADELE ADDN,30.26973817,-97.6808739
2015-072238 BP,R- 101 Single Family Houses,New,3713 MUNSON ST,6/22/2015,NEW SINGLE FAMILY 2 STORY WITH ATTACHED CARPORT *COTTAGE*,Active,2037,115000,1,LOT 6 SPRINGDALE SUBD,30.26975121,-97.6935524
2015-030738 BP,R- 329 Res Structures Other Than Bldg,New,3127 HONEY TREE LN,3/27/2015,Inground swimming pool & spa w/ req'd enclosure device for existing 1 story SF res,Final,502,109204,1,Lot: 28 Block: C Subdivision:,30.26976047,-97.79967074
2015-043458 BP,C- 101 Single Family Houses,New,1021 JUNIPER ST,4/20/2015,"New Construction Single Family Townhomes W/Garage,Balcony and Roof Deck",Active,3556,209100,1,LOT 16B BLK 1 1000 BLOCK OF EAST 11TH STREET SUBD REPLAT OF,30.26976533,-97.7290797
2015-043457 BP,C- 101 Single Family Houses,New,1019 JUNIPER ST,4/20/2015,"New Construction Single Family Townhomes W/Garage,Balcony and Roof Deck",Active,3805,206424,1,LOT 11B BLK 1 1000 BLOCK OF EAST 11TH STREET SUBD REPLAT OF,30.26978152,-97.72913899
2015-085463 BP,R- 101 Single Family Houses,New,2105 ROSEWOOD AVE,7/17/2015,"New 2-story single family residence with (4) bedrooms, (3) bathrooms, covered front porch, covered rear porch, spiral staircase to roof deck, uncovered front and rear porches on the 2nd floor. New 2-car detached garage with game room, full bathroom and uncovered deck on 2nd floor with spiral stair to roof deck.",Active,2800,200000,1,Lot: 2 Block: Subdivision: CHERNOSKY SUBD NO 6,30.2698006,-97.71722175
2015-085464 BP,R- 438 Residential Garage/Carport Addn,New,2105 ROSEWOOD AVE,7/17/2015,"New 2-car detached garage with game room, full bathroom and uncovered deck on 2nd floor with spiral stair to roof deck.",Active,744,80000,1,Lot: 2 Block: Subdivision: CHERNOSKY SUBD NO 6,30.2698006,-97.71722175
2015-043456 BP,C- 101 Single Family Houses,New,1017 JUNIPER ST,4/20/2015,"New Construction Single Family Townhomes W/Garage,Balcony and Roof Deck",Active,3556,209100,1,LOT 10B BLK 1 1000 BLOCK OF EAST 11TH STREET SUBD REPLAT OF,30.26980557,-97.7291962
2015-043455 BP,C- 101 Single Family Houses,New,1015 JUNIPER ST,4/20/2015,"New Construction Single Family Townhomes W/Garage,Balcony and Roof Deck",Active,3627,210060,1,LOT 9B BLK 1 1000 BLOCK OF EAST 11TH STREET SUBD REPLAT OF,30.26983391,-97.72926188
2015-043454 BP,C- 101 Single Family Houses,New,1013 JUNIPER ST,4/20/2015,"New Construction Single Family Townhomes W/Garage,Balcony and Roof Deck",Active,3627,210060,1,LOT 8B BLK 1 1000 BLOCK OF EAST 11TH STREET SUBD REPLAT OF,30.26985534,-97.72933529
2015-043453 BP,C- 101 Single Family Houses,New,1011 JUNIPER ST,4/20/2015,"New Construction Single Family Townhomes W/Garage,Balcony and Roof Deck",Active,3556,209100,1,LOT 7B BLK 1 1000 BLOCK OF EAST 11TH STREET SUBD REPLAT OF,30.2698837,-97.72940569
2015-043452 BP,C- 101 Single Family Houses,New,1009 JUNIPER ST,4/20/2015,"New Construction Single Family Townhomes W/Garage,Balcony and Roof Deck",Active,3555,210060,1,LOT 6B BLK 1 1000 BLOCK OF EAST 11TH STREET SUBD REPLAT OF,30.26990381,-97.72946139
2015-061957 BP,R- 329 Res Structures Other Than Bldg,New,1913 REAL CATORCE,5/27/2015,Permitting the inground swimming pool and spa built without a permit sometime between 1999 & 2003.,Active,544,20000,1,Lot: 12 Block: A Subdivision: PARKSTONE PUD PHASE I RESUBDIVISION,30.26992138,-97.81886949
2015-043451 BP,C- 101 Single Family Houses,New,1007 JUNIPER ST,4/20/2015,"New Construction Single Family Townhomes W/Garage,Balcony and Roof Deck",Active,3556,209100,1,LOT 5B BLK 1 1000 BLOCK OF EAST 11TH STREET SUBD REPLAT OF,30.26992776,-97.72953289
2015-043447 BP,C- 101 Single Family Houses,New,1155 CURVE ST,4/20/2015,"New Construction Single Family Townhomes W/Garage,Balcony and Roof Deck",Active,3518,204298,1,LOT 3B BLK 1 1000 BLOCK OF EAST 11TH STREET SUBD REPLAT OF,30.26994547,-97.72984674
2015-043450 BP,C- 101 Single Family Houses,New,1005 JUNIPER ST,4/20/2015,"New Construction Single Family Townhomes W/Garage,Balcony and Roof Deck",Active,3627,210060,1,LOT 4B BLK 1 1000 BLOCK OF EAST 11TH STREET SUBD REPLAT OF,30.269963,-97.72964284
2015-055803 BP,"C- 318 Amusement, Social & Rec Bldgs",New,900 THOMPSON ST BLDG G,6/3/2015,New Fieldhouse Structure (Bathrooms/Office/Retail Store) for Public Educational Facility. NOTE: Separate Demolition permit required to remove existing Fieldhouse Bldg.,Active,909,150000,1,,30.26997434,-97.70904044
2015-043448 BP,C- 101 Single Family Houses,New,1157 CURVE ST,4/20/2015,"New Construction Single Family Townhomes W/Garage,Balcony and Roof Deck",Active,3556,209100,1,LOT 2 BLK 1 1000 BLK OF EAST 11TH ST SUBD,30.26999695,-97.72982875
2015-043449 BP,C- 101 Single Family Houses,New,1159 CURVE ST,4/20/2015,"New Construction Single Family Townhomes W/Garage,Balcony and Roof Deck",Active,3221,210060,1,LOT 1 BLK 1 1000 BLK OF EAST 11TH ST SUBD,30.27004765,-97.72979136
2015-086829 BP,R- 101 Single Family Houses,New,2010 ROSEWOOD AVE,7/29/2015,"New 2-story single family residence to have (3) bedrooms, (3.5) bathrooms, 1-car attached garage, 2nd floor deck with spiral staircase to roof deck.",Active,2212,150000,1,Lot: 5 Block: 2 Subdivision: F. B. FOSTER SUBDIVISION,30.27021454,-97.71728975
2015-090655 BP,R- 101 Single Family Houses,New,1106 MYRTLE ST,7/29/2015,"New 3-Story SFR - 3 bedroom, 2.5 bath",Active,3091,225000,1,Lot: 44 Block: Subdivision: GEO. L . ROBERTSON SUBDIVISION OF OUTLOT NO. 55,30.27029599,-97.72782801
2015-120972 BP,R- 438 Residential Garage/Carport Addn,New,1172 NAVASOTA ST,10/7/2015,permitting unpermitted detached carport,Active,171,10000,1,Lot: 43 Block:   Subdivision: GEO. L . ROBERTSON SUBDIVISION OF OUTLOT NO. 55,30.27041434,-97.72756183
2015-082004 BP,R- 329 Res Structures Other Than Bldg,New,1139 1/2 GUNTER ST,7/10/2015,Inground swimming pool and spa w/ req'd enclosure device for existing 2 story SF res,Active,830,30000,0,LOT 10B EASTOVER RESUB OF LOT 10 BLK A,30.27042176,-97.69604857
2015-137080 BP,C- 329 Com Structures Other Than Bldg ,New,525 N LAMAR BLVD,11/13/2015,1 Temporary  Structures - Ice Rink (approx 1760 sq ft) for event to an existing commercial only.\r,Active,1760,30000,1,LOT 1-16 BLK 1 OLT 11 DIV Z RAYMONDS PLATEAU PLUS VAC ROW,30.27057496,-97.75406129
2015-137827 BP,R- 103 Two Family Bldgs,New,4711 SARA DR,11/18/2015,"New 2-story duplex.  Unit A is to have (2) bedrooms, (2.5) bathrooms, covered front porch, covered rear porch and a 1-car attached garage.  Unit B is to have (2) bedrooms, (2.5) bathrooms, covered front porch, covered rear porch and an attached 1-car carport.",Active,3468,250000,2,LOT 6 BLK 7 PECAN VALLEY,30.27064841,-97.68991759
2015-027816 BP,C- 329 Com Structures Other Than Bldg,New,605 WOOD ST,3/11/2015,Temporary adaptable gohome (528 Sq Ft),Expired,528,1,0,Lot: 8 Block: G Subdivision: RAYMOND THE OUTLOT 2 DIV Z 1898,30.27104557,-97.75161838
2015-027413 BP,C- 321 Pkg Garage Bldg & Open Deck,New,805 NUECES ST BLDG GAR2,3/24/2015,New Construction Multi-Family Parking Garage,Active,103042,6000000,0,0.4114AC OF LOTS 1-4 BLOCK 102 ORIGINAL CITY,30.27180984,-97.7474128
2015-032515 BP,R- 103 Two Family Bldgs,New,"1144 GUNTER ST, Bldg 3, Units 301 & 302",3/27/2015,"New 2-story duplex. Each unit to have (2) bedrooms, (2.5) bathrooms, 2nd floor flex space and a front covered porch. Unit 301 to have a 1-car attached garage. Unit 302 to have a 1-car attached carport with storage shed.",Active,3541,210000,2,LOT 3 SOUTH ACRE RESUB OF LOT A,30.271818,-97.696094
2015-032563 BP,R- 103 Two Family Bldgs,New,"1144 GUNTER ST, Bldg 4, Units 401 & 402",3/27/2015,"New 2-story duplex. Each unit to have (2) bedrooms, (2.5) bathrooms, 2nd floor flex space and a front covered porch. Unit 401 to have a 1-car attached garage. Unit 402 to have a 1-car attached carport with storage shed.",Active,3559,210000,2,LOT 4 SOUTH ACRE RESUB OF LOT A,30.271818,-97.696094
2015-020419 BP,R- 101 Single Family Houses,New,1190 NAVASOTA ST,3/13/2015,***SMART HOUSING****New construction of a three-story single-family residence having 3 bedrooms and 3.5 bathrooms with attached garage.,Active,2829,205000,1,Lot: 5 Block: B Subdivision: ANDERSON HILL SUBDIVISION (SMART HOUSING),30.2719315,-97.7278551
2015-036479 BP,R- 101 Single Family Houses,New,1123 MAP ST,4/6/2015,"New 2 story single family res; 3 bedrms 2.5 bathrms, 1 car garage.",Active,2401,190000,1,Lot: 2 Block: 2 Subdivision: PECAN VALLEY,30.27197188,-97.69047705
2015-036479 BP,R- 101 Single Family Houses,New,1123 MAP ST,4/6/2015,"New 2 story single family res; 3 bedrms 2.5 bathrms, 1 car garage.",Active,2401,190000,1,Lot: 2 Block: 2 Subdivision: PECAN VALLEY,30.27197188,-97.69047705
2015-001056 BP,C- 329 Com Structures Other Than Bldg,New,1000 CONGRESS AVE,1/20/2015,"Install Governor's Platform located on the West side of 10th Street, Press Platform located East side of 10th Street, Announcers Platform located on the sidewalk on the North East corner of 10th and bleachers.",Final,2512,0,1,Lot: 1 Block: 124 Subdivision:,30.27207063,-97.74176812
2015-089114 BP,R- 103 Two Family Bldgs,New,1605 NEW YORK AVE,7/24/2015,New Duplex w/ 6 bedrooms and 5 baths,Active,4916,300000,2,LOT 29 BLK 9-10 OLT 57 DIV B PATTERSON J H,30.27212563,-97.72225873
2015-131930 BP,R- 101 Single Family Houses,New,2004 PENNSYLVANIA AVE,11/3/2015,"TWO FAMILY-New 2-story single-family residence, attached garage, covered porch and patio",Active,3169,160000,1,LOT 3 BLK 10 OLT 58 DIV B FOSTER SUBD,30.27228465,-97.71805356
2015-131931 BP,R- 102 Secondary Apartment,New,2004 PENNSYLVANIA AVE,11/3/2015,"New 2-story secondary apartment with attached garage, covered porch and patio.",Active,1611,130000,1,LOT 3 BLK 10 OLT 58 DIV B FOSTER SUBD,30.27228465,-97.71805356
2015-119641 BP,R- 329 Res Structures Other Than Bldg,New,1302 DARTER LN,10/5/2015,Pool,Active,399,20000,0,Lot: 43 Block: A Subdivision: WOODHAVEN II,30.27231233,-97.80703182
2015-098104 BP,R- 329 Res Structures Other Than Bldg,New,1800 RANDOLPH RIDGE TRL,8/13/2015,Inground swimming pool & spa w/ req'd enclosure device for existing 3 story SF res,Active,704,32000,0,Lot: 1 Block: B Subdivision: PARKSTONE PUD PHASE I RESUBDIVISION,30.27235104,-97.82089116
2015-062507 BP,R- 101 Single Family Houses,New,2106 PENNSYLVANIA AVE,6/25/2015,"New 2-story single family residence to have front porch, (2) bedrooms, (2) bathrooms, ground floor screened porch, 2nd level den, 2nd floor deck and 3rd floor deck. ***AUTHORIZATION TO ISSUE IN ATTACHMENTS***",Active,2563.8,172000,1,Lot: 3 Block: Subdivision: F. B. FOSTER SUBDIVISION,30.27236365,-97.71709345
2015-062508 BP,R- 102 Secondary Apartment,New,2106 PENNSYLVANIA AVE,6/25/2015,"New secondary apartment to have (1) bedroom, (1) bathroom, ground floor storage/utility room, carport and 2nd level wood deck. ***AUTHORIZATION TO ISSUE IN ATTACHMENTS***",Active,1550.7,86000,1,Lot: 3 Block: Subdivision: F. B. FOSTER SUBDIVISION,30.27236365,-97.71709345
2015-032368 BP,C- 329 Com Structures Other Than Bldg,New,1145 AIRPORT BLVD,4/14/2015,New Consrtuction ATM to existing Financial Services,Final,167,32000,0,LOT 2 HIRSH ARRAH NEAL SUBD NO 3,30.2727844,-97.6972027
