permit,address,description,lat,lon
2011-099019 BP,111 W 6TH ST,Partial demolition for modifications to North and West exteriors walls for rennovation.,30.267901,-97.7439519
2011-099195 BP,1107 W 9TH ST,Demolish detached carport with attached shed.,30.274255,-97.754692
2011-100084 BP,6207 CHESTERFIELD AVE,Re-permitting for expired permit number 2009-135974-BP (Demolish an addition constructed at rear of residence.),30.328442,-97.718008
2011-100499 BP,318 RIDGEWOOD RD,"Demolish a circa 1976, 2 story, 2,760 square foot single family residence",30.281515,-97.788957
2011-100500 BP,318 RIDGEWOOD RD,Detached storage shed 288SF,30.281515,-97.788957
2011-100501 BP,318 RIDGEWOOD RD,Demo Swimming pool,30.281515,-97.788957
2011-100606 BP,1007 ELM ST,Re-permitting for expired permit number 2004-016702-BP (demolish detached garage and storage building.),30.278508,-97.75813
2011-101306 BP,6507 WOODCREST DR,Demolish / fill in a 345 square foot inground swimming pool. (also re-permitting expired permit number 1999-002839-BP issued to demolish a detached greenhouse. Greenhouse was removed prior to construction of pool in 1999.),30.4240174,-97.7609086
2011-101758 BP,805 W MARY ST,Re-permitting for expired permit number 2011-028151-BP (demolish res),30.247312,-97.759855
2011-103329 BP,3405 WEST AVE,Total demolition of a commercial structure,30.3019129,-97.7430058
2011-103614 BP,1901 W ANDERSON LN,Total demolition of a 585sqft 1-story brick commercial building.,30.35374,-97.726399
2011-103616 BP,8803 N MOPAC EXPY NB,"total demolition (including foundation) of a 45,500 gallon steel petroleum aboveground storage tank - #202",30.3784702,-97.7363998
2011-103714 BP,79 RAINEY ST,"Demolish a circa 1937, 1 story, 1,493 square foot single family residence.",30.258905,-97.738413
2011-103715 BP,79 RAINEY ST,Demolish a detached accessory building.,30.258905,-97.738413
2011-103787 BP,1111 MONTOPOLIS DR,"Total demolition (slab to remain) of a 1800sqft, 1 story, metal and wood storage building.",30.2320875,-97.698356
2011-103888 BP,7302 WALKINGSTICK LN,"Demolish a circa 1978, 1 story, 1,228 square foot single family residence.",30.170476,-97.748276
2011-103947 BP,707 W GIBSON ST,Demolish detached carport to make room for future addition.,30.2520661,-97.7557207
2011-104006 BP,3004 KERBEY LN,"Re-permitting for expired permit number 2077-025335-BP (Demolish a circa 1938, 1 story, 200 square foot detached carport.) ALREADY DEMOLISHED",30.302539,-97.753343
2011-104167 BP,4906 SHOAL CREEK BLVD,Re-permitting for expired permit number 2007-131515-BP (Demolish a circa 1950 single family residence) ***ALREADY DEMOLISHED***,30.322744,-97.745265
2011-104600 BP,1903 E 17TH ST,"Demolish a circa 1913, 1 story, 1,105 square foot single family residence.",30.277584,-97.720395
2011-105330 BP,4616 LAKE VW,"Demolish a circa 1948, 2 story, 3,322 square foot single family residence.",30.3324208,-97.7670013
2011-105406 BP,400 E FAWNRIDGE DR,"Demolish a circa 1948, 1 story, single family residence.",30.357822,-97.693135
2011-105647 BP,510 W 8TH ST,"Total demolition (including slab) of a 2-story, 3640 sqft, 4 unit MF brick building and detached metal car port.",30.27161,-97.74737
2011-105648 BP,510 W 8TH ST,"Total demolition (including slab) of a 2-story, 3640 sqft, 4 unit MF brick building and detached metal car port.",30.27161,-97.74737
2011-106285 BP,1123 MAP ST,"Demolish a circa 1951, 1 story, 1,966 square foot single family residence.",30.271993,-97.690467
2011-106362 BP,1910 COLLIER ST,"Demolish a circa 1953, 1 story, 910 square foot single family residence.",30.255728,-97.771039
2011-106363 BP,1910 COLLIER ST,Demolish a small detached storage shed.,30.255728,-97.771039
2011-106554 BP,5107 S IH 35 SVRD NB,Total demolition of an existing fueling station.,30.2044092,-97.7584703
2011-106772 BP,100 W LISA DR,Demolition permit for an attached carport that was built without a permit and then demolished without a permit. CARPORT ALREADY DEMOLISHED.,30.33521,-97.710463
2011-107217 BP,4001 N LAMAR BLVD BLDG 4,Total demolition of a 9100 sqfoot brick and mortar commercial structure. Bldg 4 (suites 400 and 410),30.3078864,-97.7412704
2011-107269 BP,2406 SCHULLE AVE,Demolish / fill in existing inground swimming pool.,30.301158,-97.775304
2011-107445 BP,5602 BAYTON LOOP,"Demolish a circa 1973, 2 story, 2,122 square foot single family residence.",30.221678,-97.8076789
2011-107451 BP,1325 DALTON LN,"Demolish a circa 1961, 1 story, 964 square foot single family residence.",30.223858,-97.677327
2011-107648 BP,4611 AVENUE F,Re-permitting for expired permit number 1997-001743-BP. Demolish res. (ALREADY DEMOLISHED),30.3108422,-97.7255473
2011-107682 BP,4708 BULL CREEK RD,Re-permitting for expired permit number 2009-111973-BP (Demolish a detached garage and carport.),30.32378,-97.751897
2011-108256 BP,4707 HARMON AVE,"Total demolition (including asphalt and slab) of a 1215sqft commercial structure, a 342 sqft garage, and a 500sqft accessory structure.",30.306039,-97.7143959
2011-108257 BP,4707 HARMON AVE,"Total demolition (including asphalt and slab) of a 1215sqft commercial structure, a 342 sqft garage, and a 500sqft accessory structure.",30.306039,-97.7143959
2011-108258 BP,4707 HARMON AVE,"Total demolition (including asphalt and slab) of a 1215sqft commercial structure, a 342 sqft garage, and a 500sqft accessory structure.",30.306039,-97.7143959
2011-108679 BP,905 CARDINAL LN,"Demolish a circa 1970, 1 story, 500 square foot single family residence.",30.233225,-97.769338
2011-108680 BP,907 CARDINAL LN,"Demolish a circa 1968, 1 story, 1,008 square foot single family residence.",30.233345,-97.769589
2011-108988 BP,2108 THORNTON RD,Demolish a detached metal garage. Approximately 260 square foot.,30.246458,-97.770156
2011-109039 BP,3100 SCENIC DR,"Demolish a circa 1950, 2 story, 2,406 square foot single family residence.",30.310414,-97.768675
2011-109454 BP,4400 BUNNY RUN,"Re-permitting for expired permit number 2011-039525-BP (Demolish a circa 1980, 1 story, 1,464 square foot single family residence.)",30.3448238,-97.8069841
2011-109509 BP,1604 JULIET ST,"Demolish a circa 1971, 1 story, 970 square foot single family residence.",30.259747,-97.764013
2011-109510 BP,1604 JULIET ST,"Demolish a 1 story, 378 square foot detached garage.",30.259747,-97.764013
2011-109516 BP,904 E 51ST ST,"Demolish a circa 1950, 1 story, 1,542 square foot residence.",30.311935,-97.714369
2011-109517 BP,904 E 51ST ST,Demolish a detached storage building.,30.311935,-97.714369
2011-109655 BP,129 COLEMAN ST,"Demolish a circa 1996, 1 story, 312 square foot detached shed.",30.231578,-97.760982
2011-109671 BP,3205 CHURCHILL DR,"Demolish a circa 1950, 1 story, 1,135 square foot single family residence.",30.30344,-97.751068
2011-109679 BP,3501 WESTLAKE DR,"Demolish a circa 1955, 2 story, 3,268 square foot single family residence.",30.321994,-97.778438
2011-109973 BP,2905 RICHARD LN,"Re-permitting for expired permit number 2008-070953-BP (Demolish a circa 1952, 1 story w/ basement, 3,307 square foot single family residence.) ***ALREADY DEMOLISHED***",30.302402,-97.7690329
2011-109998 BP,4808 SHOALWOOD AVE,"Demolish a circa 1940, 1 story, 2,140 square foot single family residence.",30.321419,-97.742818
2011-110001 BP,5604 SHOALWOOD AVE,"Demolish a circa 1946, 1 story, 958 square foot single family residence.",30.332068,-97.743374
2011-110002 BP,5604 SHOALWOOD AVE,Demolish a 180 square foot detached garage.,30.332068,-97.743374
2011-110036 BP,2705 SANTA ROSA ST,"Demolish a circa 1930, 1 story, 488 square foot single family residence.",30.256302,-97.71256
2011-110246 BP,1660 E 51ST ST,"Total demolition, included concrete slab, of a 5431.79 sqft, 1-story birck commercial structure.",30.304437,-97.699028
2011-110606 BP,2302 E 14TH ST,"Demolish a circa 1941, 1 story, 810 square foot single family residence. Structure figures per TCAD.",30.276628,-97.716054
2011-111770 BP,4306 MOUNT VERNON DR,Partial demolition to remove the portion of attached front deck constructed under permit number 1991-014007-BP (the wrap arround portion... the landing and staircase will remain... wrap around portion of deck ALREADY DEMOLISHED.),30.224234,-97.777705
2011-111826 BP,3103 BONNIE RD,"Demolish a circa 1939, 1 story, 860 square foot primary res.; ONLY WENT TO HLC, NO ATTACHMENTS IN AMANDA (ALSO NO RECORDS ON CCW);",30.292946,-97.775478
2011-111827 BP,3103 BONNIE RD,"Demolish a circa 1939, 1 story, 360 square foot detached guest house..; ONLY WENT TO HLC, NO ATTACHMENTS IN AMANDA (ALSO NO RECORDS ON CCW);",30.292946,-97.775478
2011-112468 BP,2100 ELTON LN,"Demolish a circa 1939, 1 story, 2,024 square foot single family residence.",30.293928,-97.766601
2011-112469 BP,2100 ELTON LN,"Demolish a circa 1939, 1 story, 400 square foot detached garage.",30.293928,-97.766601
2011-112470 BP,2100 ELTON LN,"Demolish a 1 story, 480 square foot detached accessory structure.",30.293928,-97.766601
2011-112474 BP,4306 SINCLAIR AVE,"Demolish a circa 1937, 1 story, 1,516 square foot single family residence.",30.314674,-97.745851
2011-112475 BP,4306 SINCLAIR AVE,"Demolish a circa 1937, 1 story, 504 square foot detached garage.",30.314674,-97.745851
2011-113182 BP,6110 FELIX AVE UNIT 2,Demolish rear unit.,30.2363447,-97.698924
2011-113823 BP,1402 JULIET ST,Demolish detached garage (already demolished).,30.258419,-97.761332
2011-114036 BP,2007 E 17TH ST,"Re-permitting for expired permit number 2011-033813-BP (Demolish a circa 1935, 1 story, 1,066 square foot single family residence.) ALREADY DEMOLISHED.",30.27781,-97.718973
2011-114512 BP,8503 STILLWOOD LN,Demolish / fill in existing ingroud swimming pool.,30.368132,-97.730523
2011-114851 BP,3305 STARDUST DR,Remove deck attached to front of res constructed without permit. **refer to pmt # 2013-079425**,30.353901,-97.74561
2011-114872 BP,14 SCOTT CRES,"Re-permitting for expired permit number 2011-034065-BP (Demolish a circa 1946, 1 story, 1,089 square foot single family residence.) ***ALREADY DEMOLISHED AND NEW STRUCTURE BEING BUILT***",30.299033,-97.7604829
2011-115372 BP,1212 E 10TH ST,"Demolish a circa 1906, 1 story, 668 square foot single family residence.",30.267675,-97.726905
2011-115470 BP,1310 GREENWOOD AVE,Re-permitting for expired permit number 2011-009094-BP. Demolish res. ***ALREADY DEMOLISHED***,30.27907,-97.696742
2011-115477 BP,2506 PECOS ST,"Demolish a circa 1965, 1 story, 3,633 square foot single family residence. (portion of residence and whole foundation to remain for future new construction.)",30.301435,-97.77348
2011-115541 BP,12316 HAVELOCK DR,Partial demolition to remove recently constructed unfinished rear addition.,30.418438,-97.715582
2011-115866 BP,1312 CANTERBURY ST,"Demolish a circa 1951, 1 story, 672 square foot single family residence.",30.257846,-97.731307
2012-000145 BP,1905 W 30TH ST,"Demolish a circa 1951, 1 story, 1,044 square foot single family residence. (See 2012-114978)",30.303754,-97.757631
2012-000662 BP,1107 E 3RD ST,"Demolish detached carport (constructed without a permit), garage and storage building.",30.26168,-97.732519
2012-000709 BP,2640 W 49TH ST,Demolish 520 square foot garage attached to existing single family residence.,30.324254,-97.749194
2012-000710 BP,4910 STRASS DR,Remove 88 square foot utility room attached to the rear of the existing single family residence.,30.322777,-97.74681
2012-001903 BP,2905 E 13TH ST,"Demolish a circa 1954, 1 story, 1,000 square foot single family residence. ***ALREADY DEMOLISHED***",30.276366,-97.707881
2012-001915 BP,909 RAMONA ST,Re-permitting for expired demolition permit number 2002-012234-BP (demolish res) ***ALREADY DEMOLISHED***,30.256031,-97.756638
2012-001916 BP,909 RAMONA ST,Demolish existing 540 square foot detached garage / carport.,30.256031,-97.756638
2012-001945 BP,1904 W 35TH ST,Re-permitting for expired demolition permit number 2008-010762-BP (demolish a circa 1930 single family residence.),30.3088488,-97.7551131
2012-001966 BP,1305 KAREN AVE,"Demolish a circa 1948, 1 story, 1,069 square foot single family residence.",30.335897,-97.728078
2012-001969 BP,805 JESSIE ST,"Demolish a circa 1938, 1 story, 980 square foot single family residence.",30.258099,-97.762211
2012-001970 BP,805 JESSIE ST,"Demolish a circa 1938, 1 story, 324 square foot detached garage.",30.258099,-97.762211
2012-001981 BP,6800 N FM 620 RD,total demolition of a 2344 square foot commercial structure.,30.2995177,-97.8379554
2012-002104 BP,1600 HASKELL ST,"Demolish a circa 1946, 1 story, 484 square foot single family residence.",30.254226,-97.730459
2012-003162 BP,7100 N FM 620 RD,Removal of gas pump canopy only at the 7-Eleven Gas station,30.3037765,-97.8405242
2012-003622 BP,5706 WOODVIEW AVE,"Demolish a circa 1950, 1 story, 1,080 square foot single family residence.",30.334436,-97.744548
2012-003631 BP,2602 PARK VIEW DR,"Demolish a circa 1954, 1 story, 1,300 square foot single family residence.",30.344474,-97.741371
2012-003639 BP,3011 E 16TH ST,"Re-permitting for expired permit number 2011-015903-BP. (Demolish a residence moved onto lot in 1951. 1 story, 984 square foot.)",30.279199,-97.704041
2012-003640 BP,2917 RIO GRANDE ST,"Demolish a circa 1932, 2 story, 1,285 square foot single family residence.",30.2969985,-97.7431102
2012-005518 BP,1501 PARKWAY,Demolish a detached carport.,30.2776494,-97.7495253
2012-005522 BP,1503 PARKWAY UNIT 2,"Demolish tool shed attached to the rear of the existing garage apartment back to the original facade. City, has acquired some property at the back of her house (attached easement) so that City can demolish a tool shed that is now in our recorded drainage easement",30.279198,-97.751357
2012-006188 BP,5007 EILERS AVE,"Demolish a circa 1946, 1 story, 630 square foot detached garage. ALREADY DEMOLISHED. It was removed between 2003 - 2006 without a demolition permit.",30.312194,-97.7173959
2012-007237 BP,2818 W 50TH ST,"Demolish a circa 1954, 1 story, 1,472 square foot single family residence.",30.32706,-97.751921
2012-007409 BP,1108 FAIRMOUNT AVE,"Demolish a circa 1954, 1 story, 314 square foot detached accessory building in back yard.",30.242106,-97.740647
2012-007443 BP,3607 MARCAE CT,"Demolish a circa 1970, 1 story, 1,210 square foot single family residence.",30.2323,-97.770837
2012-007444 BP,3607 MARCAE CT,"Demolish a circa 1977, 1 story, 174 square foot detached greenhouse.",30.2323,-97.770837
2012-007445 BP,3607 MARCAE CT,Demolish a 180 square foot detached storage shed.,30.2323,-97.770837
2012-007458 BP,2411 MARLTON DR,"Re-permitting for expired permit number 2011-076663-BP. (Demolish a circa 1952, 1 story, 1,218 square foot single family residence.)",30.284836,-97.77195
2012-007611 BP,61 RAINEY ST,"Partial demolition to the back (362sqft) of a SFR structure (commercial use) for an addition; ONLY WENT TO HLC, NO ATTACHMENTS IN AMANDA (ALSO NO RECORDS ON CCW);",30.257925,-97.738777
2012-007669 BP,1505 MARSHALL LN,"Demolish a circa 1993, 2 story, 3,961 square foot single family residence.",30.282373,-97.755475
2012-007719 BP,305 W 6TH ST,Partial demolition of a 24ft lenth of exterior facade for installation of a window.,30.2685504,-97.745599
2012-008557 BP,1502 W 9TH ST,Re-permitting for expired permit number 2011-064823-BP (Demolish 360 square foot detached carport),30.277294,-97.759289
2012-008558 BP,1502 W 9TH ST,Re-permitting for expired permit number 11-064824-BP (Demolish a 140 square foot detached storage shed.),30.277294,-97.759289
2012-008606 BP,1306 WALNUT AVE,"Demolish a residence moved onto property in 1937. 1 story, 1,242 square foot single family residence.",30.2765594,-97.7126018
2012-008612 BP,1904 TILLOTSON AVE,Re-permitting for expired permit number 2007-134119-BP (Demolish a ca. 1929 SF Residence.) ***ALREADY DEMOLISHED***,30.2669,-97.719616
2012-008653 BP,3005 PRADO ST,"Demolish a circa 1948, 1 story, 960 square foot single family residence.",30.260879,-97.70647
2012-009286 BP,4100 JACKSON AVE BLDG 3,Total demolition of 18000 square feet of a 2 story concrete and steal commercial building. Partial demolition of 38500 square feet of a 2 stoy concrete and steal commercial building,30.3162171,-97.7554287
2012-009678 BP,6011 CARNATION TER,"Demolish a circa 1970, 1 story, 1,200 square foot single family residence. ***SMART HOUSING***",30.23161,-97.7033359
2012-009682 BP,65 CHICON ST,"Re-permitting for expired permit number 2008-012106-BP (Demolish a circa 1927, 2 story single family residence.)",30.2540206,-97.7258897
2012-009686 BP,12229 TANGLEWILD DR,"Demolish a circa 1977, 1 story, 396 square foot pool house. (See 2012-104602)",30.407219,-97.69118
2012-009691 BP,907 CHRISTOPHER ST,"Demolish a circa 1920, 2 story, 792 square foot single family residence.",30.255347,-97.756851
2012-009694 BP,2017 HAMILTON AVE,Demolish a residence.,30.266542,-97.717519
2012-009695 BP,2017 HAMILTON AVE,Demolish a detached garage apartment.,30.266542,-97.717519
2012-009696 BP,2017 HAMILTON AVE,Demolish a detached storage shed.,30.266542,-97.717519
2012-010072 BP,7337 MANCHACA RD,Demolish residence.,30.1966318,-97.8074746
2012-010073 BP,7337 MANCHACA RD,Demolish storage building.,30.1966318,-97.8074746
2012-010074 BP,7337 MANCHACA RD,Demolish storage building.,30.1966318,-97.8074746
2012-010075 BP,7337 MANCHACA RD,Demolish storage building.,30.1966318,-97.8074746
2012-010076 BP,7337 MANCHACA RD,Demolish storage building.,30.1966318,-97.8074746
2012-010077 BP,7337 MANCHACA RD,Demolish storage building.,30.1966318,-97.8074746
2012-010078 BP,7337 MANCHACA RD,Demolish storage building.,30.1966318,-97.8074746
2012-010079 BP,7337 MANCHACA RD,Demolish storage building.,30.1966318,-97.8074746
2012-010080 BP,7337 MANCHACA RD,Demolish storage building.,30.1966318,-97.8074746
2012-010081 BP,7337 MANCHACA RD,Demolish storage building.,30.1966318,-97.8074746
2012-010308 BP,2401 HOLLY ST,Demolition of 37 power treatment plant structures. See attached spread sheet and map for desciption and location of structures to be demolished.,30.250262,-97.720121
2012-010519 BP,1115 VARGAS RD,"Re-permitting for expired permit number 2011-082891-BP (Demolition permit for a structure that was previously demolished without a permit. Circa 1950, 1 story, 720 square foot.) ***ALREADY DEMOLISHED***",30.230463,-97.695981
2012-010546 BP,10718 PICKFAIR DR,Demolish / remove portion of wood deck attached to the rear of the existing single family residence.,30.436806,-97.811116
2012-010822 BP,55 LYNN ST,Demolish front residence.,30.252641,-97.7250118
2012-010823 BP,55 LYNN ST,Demolish rear residence.,30.252641,-97.7250118
2012-010826 BP,2005 PENNSYLVANIA AVE,"Demolish a circa 1948, 1 story, 528 square foot single family residence.",30.27169,-97.7179249
2012-010827 BP,2005 PENNSYLVANIA AVE,Demolish a 340 square foot detached secondary unit.,30.27169,-97.7179249
2012-010944 BP,1185 SPRINGDALE RD,"Re-permitting for expired permit number 2010-029196-BP. (Demolish a circa 1940, 2 story, 1536 square foot single family residence.) ALREADY DEMOLISHED.",30.278428,-97.687068
2012-010982 BP,1180 RIDGEWAY DR,Demolish Secondary residence.,30.274382,-97.704448
2012-011075 BP,1313 BONHAM TER BLDG B,"Re-permitting for expired permit number 2010-084473-BP (Demolish a circa 1941, 1 story, 608 square foot detached garage ONLY.)",30.246986,-97.7367359
2012-011117 BP,9303 QUAIL MEADOW DR,Demolish / fill in existing inground swimming pool. Circa 1974. 570 sq. ft.,30.367486,-97.708329
2012-011528 BP,2507 JANICE DR,"Demolish a circa 1946, 1 story, 2,293 square foot single family residence.",30.297794,-97.764546
2012-011529 BP,2507 JANICE DR,"Demolish a circa 1984, 1 story, 549 square foot detached garage.",30.297794,-97.764546
2012-011547 BP,1404 ROCKCLIFF RD BLDG BD,"The demolition of an exst boat dock and the construction of a 26 ft. x 30 ft. boat dock with 2-stories and 2-boat slips, to include repairs to the exst bulkhead, and other improvements per released plan. The project is loctaed in the Lake Austin watershed and is the subject to all watershed protection regulations as set forth in Chapter 25 of the City Of Austin Code Ordiances. This project is located within the City's Full-Purpose jurisdiction.",30.335761,-97.785344
2012-011554 BP,1404 ROCKCLIFF RD BLDG BD,"The demolition of an exst boat dock and the construction of a 26 ft. x 30 ft. boat dock with 2-stories and 2-boat slips, to include repairs to the exst bulkhead, and other improvements per released plan. The project is loctaed in the Lake Austin watershed and is the subject to all watershed protection regulations as set forth in Chapter 25 of the City Of Austin Code Ordiances. This project is located within the City's Full-Purpose jurisdiction.",30.335761,-97.785344
2012-011604 BP,2305 BIG HORN DR,Demolition to include only upper deck,30.373322,-97.915589
2012-012392 BP,3005 WASHINGTON SQ,"Demolish a circa 1921, 1 story, 240 square foot detached garage.",30.2978,-97.743332
2012-012428 BP,501 PEDERNALES ST,demo warehouse/storage bldg,30.2583454,-97.7146866
2012-012742 BP,9607 SWANSONS RANCH RD,"Demolish a circa 1983, 1 story, 1,344 square foot mobile home.",30.17307,-97.815836
2012-012970 BP,2401 INDIAN TRL,"Demolish a circa 1940, 1 story, 1,406 square foot single family residence; ONLY WENT TO HLC, NO ATTACHMENTS IN AMANDA (ALSO NO RECORDS ON CCW);",30.295639,-97.765402
2012-012971 BP,2401 INDIAN TRL,"Demolish a circa 1939, 1 story, 414 square foot detached garage; ONLY WENT TO HLC, NO ATTACHMENTS IN AMANDA (ALSO NO RECORDS ON CCW);",30.295639,-97.765402
2012-012975 BP,2004 INDIAN TRL,"Demolish a circa 1942, 1 story, 1,279 square foot single family residence.",30.294028,-97.760691
2012-012976 BP,2004 INDIAN TRL,"Demolish a circa 1942, 1 story, 324 square foot detached garage with attached 273 square foot greenhouse addition built in 1975.",30.294028,-97.760691
2012-013109 BP,5108 AVENUE F,"Demolish a circa 1941, 1 story, 240 square foot detached garage.",30.316281,-97.722434
2012-013342 BP,4116 IDLEWILD RD,"Demolish a circa 1950, 2 story, 2,356 square foot single family residence.",30.315011,-97.749886
2012-013497 BP,5100 COMMERCIAL PARK DR,"Total demolition (slab to remain) of 15,000 (100 ft X 150ft) sqft building that was damaged by tornado.",30.322915,-97.653418
2012-014340 BP,6003 CARY DR,"Demolish a circa 1952, 1 story, 1,167 square foot single family residence.",30.337723,-97.74614
2012-014341 BP,6003 CARY DR,Demolish 200 square foot shed.,30.337723,-97.74614
2012-014342 BP,6003 CARY DR,Demolish 83 square foot detached storage shed.,30.337723,-97.74614
2012-014901 BP,7505 CALLBRAM LN,"Re-permitting for expired permit number 2011-069045-BP (Demolish a circa 1992, 2 story, 2,338 square foot single family residence. Foundation to remain.)",30.234788,-97.891205
2012-015050 BP,921 E 37TH ST,Demolish detached garage / carport / storage to make room for proposed addition.,30.2939149,-97.7224073
2012-015051 BP,4810 ROWENA ST,"Demolish a circa 1930, 1 story, 1,024 square foot single family residence.",30.313346,-97.7247919
2012-015058 BP,2506 E 9TH ST,Re-permitting for expired 2011-051601-BP. (Residential demolition (total) at a ca. 1938 single-family residence.) ALREADY DEMOLISHED AND NEW HOUSE BEING BUILT.,30.265235,-97.714245
2012-015240 BP,3400 DUVAL ST,"Demolish a circa 1947, 1 story, 480 square foot detached garage. (See 2012-020574 for final building) storage to make room for proposed addition.",30.296839,-97.731379
2012-015262 BP,1505 MOHLE DR,"Demolish a circa 1938, 1 story, 324 square foot detached garage only.",30.299507,-97.753191
2012-015264 BP,4512 RICHMOND AVE,"Demolish a circa 1953, 1 story, 2,000 square foot single family residence.",30.222899,-97.783685
2012-015731 BP,2510 E 9TH ST,Re-permitting for expired permit number 2011-058707-BP (demolish res) ***ALREADY DEMOLISHED***,30.265353,-97.713994
2012-016532 BP,3961 WESTLAKE DR,Demolish attached wood decks. Permit to take care of expired permit 1984-022657-BP. **refer to pmt# 2012-085195**,30.32965,-97.781538
2012-016658 BP,3501 WESTLAKE DR,Demo boat dock.,30.321994,-97.778438
2012-017140 BP,1702 PASADENA DR,"Demolish a circa 1953, 1 story, 240 square foot detached garage.",30.346255,-97.7269139
2012-017343 BP,605 HEARN ST UNIT 2,"Demolish a circa 1946, 2 story, 550 square foot garage apartment.",30.2796466,-97.7724382
2012-017346 BP,1815 MARGARET ST,"Demolish a circa 1958, 1 story, 1,040 square foot single family residence.",30.257611,-97.768803
2012-017483 BP,1600 WEST LYNN ST,Demolish detached accessory apartment structures and attached carport located at rear of property.,30.284493,-97.757638
2012-017667 BP,5532 MANCHACA RD,"Partial demolition of a commercial structure; removal sign, 2 balconies on 2nd floor and ATM drive through equipment",30.2158348,-97.7977159
2012-017734 BP,2419 S 6TH ST,"Demolish a circa 1957, 1 story, 1,318 square foot single family residence.",30.242493,-97.765429
2012-017782 BP,2505 THORNTON RD,"Demolish a circa 1946, 1 story, 800 square foot single family residence.",30.243159,-97.772138
2012-018003 BP,1503 CLIFFSIDE DR,"Demolish a circa 1968, 1 story, 1,475 square foot single family residence.",30.258534,-97.775717
2012-018125 BP,1102 E 6TH ST,Re-permitting for expired permit number 2006-023738-BP. Demo sf res. Already demolished.,30.264933,-97.731136
2012-018207 BP,3109 S LAMAR BLVD,"Total demolition, including foundation, of a 5048sqft aluminum siding commercial building. (See 2013-094104)",30.241363,-97.7850444
2012-018208 BP,3323 S LAMAR BLVD,"Total demolition, inlcuding foundation, of a 1106 sqft commercial building and a 8834sqft stucco and stone commercial structure (6 units). (see 2013-094108)",30.240651,-97.785603
2012-018209 BP,3323 S LAMAR BLVD,"Total demolition, inlcuding foundation, of a 1106 sqft commercial building and a 8834sqft stucco and stone commercial structure (6 units). (See 2013-094109)",30.240651,-97.785603
2012-018210 BP,3411 S LAMAR BLVD,"Total demolition, including foundation, of a 5055sqft stucco commercial building. (See 2013-094107)",30.240416,-97.786148
2012-018212 BP,3501 S LAMAR BLVD,"Total demolition, including slab, of a 2928 sqft stucco building. (See 2013-094101)",30.2401,-97.786648
2012-018213 BP,3503 S LAMAR BLVD,"Total demolition, including foundation, of a 5147sqft metal siding building. (See 2013-094102)",30.239928,-97.786805
2012-018215 BP,3103 S LAMAR BLVD,Total demolition (including foundation) of a 5048 sqft commercial structure. (See 2013-094103),30.241432,-97.784508
2012-018217 BP,3107 S LAMAR BLVD,"Total demolition, including slab, of a 5048sqft. commercial building. (See 2013-094099)",30.241316,-97.784674
2012-018924 BP,5015 WEST PARK DR,"Demolish a circa 1951, 1 story, 730 square foot single family residence.",30.328832,-97.752835
2012-019176 BP,3605 ROBBIN RD,"Demolish a circa 1957, 1 story, 1,906 square foot single family residence. (Foundation to remain for future new construction.)",30.340479,-97.81702
2012-019260 BP,4616 MADRONA DR,"Demolish a detached garage. 1 story, 620 square foot.",30.32847,-97.765322
2012-019267 BP,2105 ROBINHOOD TRL,Demolish detached carport. 400 square foot.,30.299501,-97.776563
2012-019505 BP,1905 FRAZIER AVE,"Re-permitting for expired demolition permit number 2011-078043-BP (Demolish a circa 1947, 1 story, 1,066 square foot single family residence.) ***ALREADY DEMOLISHED***",30.249106,-97.774918
2012-019506 BP,1905 FRAZIER AVE,Re-permitting for expired demolition permit number 2011-078044-BP (Demolish a 400 square foot detached garage.) ***ALREADY DEMOLISHED***,30.249106,-97.774918
2012-019725 BP,1125 SHADY LN,Demolish 3 detached accessory structures: 1.) small 12'x12' pump house 2.) 8'x55' garage 3.) 16'x10' portion of shed.,30.261511,-97.690301
2012-019864 BP,1705 MORROW ST,"Demolish a circa 1954, 1 story, 1,668 square foot single family residence.",30.348237,-97.725765
2012-020709 BP,11927 OAKBROOK DR,Demolish / fill in existing in ground swimming pool.,30.389168,-97.6788849
2012-020911 BP,3635 TURKEY CREEK DR,Demolish / fill in existing in ground swimming pool.,30.351978,-97.842352
2012-020919 BP,2002 PEOPLES ST,"Demolish a circa 1925, 1 story, 684 square foot single family residence.",30.267772,-97.7183809
2012-020948 BP,2503 WOODMONT AVE,Demolish a detached garage.,30.2913167,-97.768808
2012-020949 BP,2503 WOODMONT AVE,Demolish a detached shed.,30.2913167,-97.768808
2012-021066 BP,2613 WESTLAKE DR,"Demolish a circa 1975, 2 story, 2,954 square foot single family residence.",30.308291,-97.780693
2012-021072 BP,803 DAWSON RD,"Demolish a circa 1961, 1 story, 936 square foot single family residence.",30.257314,-97.756255
2012-021541 BP,2007 HEADWATER LN,Demolish / fill in existing in ground swimming pool.,30.261702,-97.804697
2012-021940 BP,405 W O DELL ST,Re-permitting for expired permit / application for demo of existing res. (ALREADY DEMOLISHED).,30.341199,-97.7094997
2012-022028 BP,3804 S CONGRESS AVE,"Partial demolition of a commercial structure; 3375sq feet addition, 1152 sqft addition, and 1300 sqft addition.",30.2258658,-97.7628853
2012-022248 BP,7300 WALKINGSTICK LN,"Demolish a circa 1978, 1 story, 1,001 square foot single family residence.",30.170567,-97.748138
2012-022250 BP,7304 WALKINGSTICK LN,"Demolish a circa 1978, 1 story, 1,018 square foot single family residence.",30.170391,-97.748423
